# station,code,index
st01,01,1
st01,02,1
st01,04,1
st01,05,1
st01,13,1
st01,14,1
st01,15,1
st02,07,1
st02,08,1
st02,10,1
st02,11,1
st02,13,1
st02,14,1
st03,07,1
st03,08,1
st03,10,1
st03,11,1
st03,13,1
st03,16,1
st04,01,1
st04,02,1
st04,04,1
st04,05,1
st04,13,1
st04,14,1
st05,01,1
st05,02,1
st05,04,1
st05,05,1
st05,13,1
st05,14,1
st06,01,1
st06,02,1
st06,04,1
st06,05,1
st06,13,1
st06,14,1
st07,01,1
st07,02,1
st07,04,1
st07,05,1
st07,13,1
st07,14,1
st08,01,1
st08,02,1
st08,04,1
st08,05,1
st08,13,1
st08,14,1
st09,07,1
st09,08,1
st09,09,1
st09,10,1
st09,11,1
st09,17,1
st10,07,1
st10,08,1
st10,10,1
st10,11,1
st10,17,1
st11,07,1
st11,08,1
st11,10,1
st11,11,1
st11,17,1
st12,07,1
st12,08,1
st12,10,1
st12,11,1
st12,17,1
st13,07,1
st13,08,1
st13,10,1
st13,11,1
st13,17,1
