# station,code,name,floor
st01,01,상행계단#1,1
st01,02,상행계단#2,1
st01,04,하행계단#1,1
st01,05,하행계단#2,1
st01,13,대합실#1,1
st01,14,대합실#2,1
st01,15,대합실#3,1
st02,07,상행#1,1
st02,08,상행#2,1
st02,10,하행#1,1
st02,11,하행#2,1
st02,13,대합실#1,1
st02,14,대합실#2,1
st03,07,상행#1,1
st03,8,상행#2,1
st03,10,하행#1,1
st03,11,하행#2,1
st03,13,대합실#1,1
st03,16,환승통로#1,1
st04,01,상행계단#1,1
st04,02,상행계단#2,1
st04,04,하행계단#1,1
st04,05,하행계단#2,1
st04,13,대합실#1,1
st04,14,대합실#2,1
st05,01,상행계단#1,1
st05,02,상행계단#2,1
st05,04,하행계단#1,1
st05,05,하행계단#2,1
st05,13,대합실#1,1
st05,14,대합실#2,1
st06,01,상행계단#1,1
st06,02,상행계단#2,1
st06,04,하행계단#1,1
st06,05,하행계단#2,1
st06,13,대합실#1,1
st06,14,대합실#2,1
st07,01,상행계단#1,1
st07,02,상행계단#2,1
st07,04,하행계단#1,1
st07,05,하행계단#2,1
st07,13,대합실#1,1
st07,14,대합실#2,1
st08,01,상행계단#1,1
st08,02,상행계단#2,1
st08,04,하행계단#1,1
st08,05,하행계단#2,1
st08,13,대합실#1,1
st08,14,대합실#2,1
st09,07,상행#1,1
st09,08,상행#2,1
st09,09,상행#3,1
st09,10,하행#1,1
st09,11,하행#2,1
st09,17,연결통로#1,1
st10,07,상행#1,1
st10,08,상행#2,1
st10,10,하행#1,1
st10,11,하행#2,1
st10,17,연결통로#1,1
st11,07,상행#1,1
st11,08,상행#2,1
st11,10,하행#1,1
st11,11,하행#2,1
st11,17,연결통로#1,1
st12,07,상행#1,1
st12,08,상행#2,1
st12,10,하행#1,1
st12,11,하행#2,1
st12,17,연결통로#1,1
st13,07,상행#1,1
st13,08,상행#2,1
st13,10,하행#1,1
st13,11,하행#2,1
st13,17,연결통로#1,1
